Using device: cpu
PG training on LunarLander-v3 | reward_to_go=True adv_norm=True
No checkpoint found at Lunarlander/checkpoints/pg_LunarLander-v3_last.pth, starting fresh.
[PG] Iter 1/500 | Mean Reward=-199.66
[PG] Iter 2/500 | Mean Reward=-156.07
[PG] Iter 3/500 | Mean Reward=-159.40
[PG] Iter 4/500 | Mean Reward=-165.22
[PG] Iter 5/500 | Mean Reward=-148.53
[PG] Iter 6/500 | Mean Reward=-165.95
[PG] Iter 7/500 | Mean Reward=-172.02
[PG] Iter 8/500 | Mean Reward=-163.39
[PG] Iter 9/500 | Mean Reward=-175.10
[PG] Iter 10/500 | Mean Reward=-162.14
Saved latest PG checkpoint (iter 10) → Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 11/500 | Mean Reward=-137.87
[PG] Iter 12/500 | Mean Reward=-167.33
[PG] Iter 13/500 | Mean Reward=-151.18
[PG] Iter 14/500 | Mean Reward=-147.06
[PG] Iter 15/500 | Mean Reward=-138.53
[PG] Iter 16/500 | Mean Reward=-135.64
[PG] Iter 17/500 | Mean Reward=-136.06
[PG] Iter 18/500 | Mean Reward=-142.62
[PG] Iter 19/500 | Mean Reward=-145.72
[PG] Iter 20/500 | Mean Reward=-129.99
Saved latest PG checkpoint (iter 20) → Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 21/500 | Mean Reward=-139.77
[PG] Iter 22/500 | Mean Reward=-139.56
[PG] Iter 23/500 | Mean Reward=-139.54
[PG] Iter 24/500 | Mean Reward=-126.79
[PG] Iter 25/500 | Mean Reward=-119.66
[PG] Iter 26/500 | Mean Reward=-133.03
[PG] Iter 27/500 | Mean Reward=-131.17
[PG] Iter 28/500 | Mean Reward=-142.74
[PG] Iter 29/500 | Mean Reward=-121.33
[PG] Iter 30/500 | Mean Reward=-113.87
Saved latest PG checkpoint (iter 30) → Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 31/500 | Mean Reward=-120.08
[PG] Iter 32/500 | Mean Reward=-129.58
[PG] Iter 33/500 | Mean Reward=-117.55
[PG] Iter 34/500 | Mean Reward=-113.15
[PG] Iter 35/500 | Mean Reward=-119.94
[PG] Iter 36/500 | Mean Reward=-119.33
[PG] Iter 37/500 | Mean Reward=-103.99
[PG] Iter 38/500 | Mean Reward=-114.00
[PG] Iter 39/500 | Mean Reward=-117.69
[PG] Iter 40/500 | Mean Reward=-120.49
Saved latest PG checkpoint (iter 40) → Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 41/500 | Mean Reward=-119.42
[PG] Iter 42/500 | Mean Reward=-122.40
[PG] Iter 43/500 | Mean Reward=-105.58
[PG] Iter 44/500 | Mean Reward=-108.57
[PG] Iter 45/500 | Mean Reward=-105.83
[PG] Iter 46/500 | Mean Reward=-117.87
[PG] Iter 47/500 | Mean Reward=-110.89
[PG] Iter 48/500 | Mean Reward=-107.50
[PG] Iter 49/500 | Mean Reward=-119.32
[PG] Iter 50/500 | Mean Reward=-119.95
Saved latest PG checkpoint (iter 50) → Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 51/500 | Mean Reward=-114.12
[PG] Iter 52/500 | Mean Reward=-94.02
[PG] Iter 53/500 | Mean Reward=-98.56
[PG] Iter 54/500 | Mean Reward=-114.28
[PG] Iter 55/500 | Mean Reward=-97.95
[PG] Iter 56/500 | Mean Reward=-106.94
[PG] Iter 57/500 | Mean Reward=-99.35
[PG] Iter 58/500 | Mean Reward=-115.00
[PG] Iter 59/500 | Mean Reward=-108.79
[PG] Iter 60/500 | Mean Reward=-88.02
Saved latest PG checkpoint (iter 60) → Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 61/500 | Mean Reward=-90.91
[PG] Iter 62/500 | Mean Reward=-87.26
[PG] Iter 63/500 | Mean Reward=-107.82
[PG] Iter 64/500 | Mean Reward=-101.53
[PG] Iter 65/500 | Mean Reward=-87.92
[PG] Iter 66/500 | Mean Reward=-99.77
[PG] Iter 67/500 | Mean Reward=-76.37
[PG] Iter 68/500 | Mean Reward=-84.33
[PG] Iter 69/500 | Mean Reward=-94.24
[PG] Iter 70/500 | Mean Reward=-100.68
Saved latest PG checkpoint (iter 70) → Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 71/500 | Mean Reward=-75.52
[PG] Iter 72/500 | Mean Reward=-82.59
[PG] Iter 73/500 | Mean Reward=-92.05
[PG] Iter 74/500 | Mean Reward=-80.80
[PG] Iter 75/500 | Mean Reward=-83.59
[PG] Iter 76/500 | Mean Reward=-64.48
[PG] Iter 77/500 | Mean Reward=-86.71
[PG] Iter 78/500 | Mean Reward=-71.48
[PG] Iter 79/500 | Mean Reward=-86.31
[PG] Iter 80/500 | Mean Reward=-82.00
Saved latest PG checkpoint (iter 80) → Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 81/500 | Mean Reward=-67.75
[PG] Iter 82/500 | Mean Reward=-81.24
[PG] Iter 83/500 | Mean Reward=-60.61
[PG] Iter 84/500 | Mean Reward=-67.17
[PG] Iter 85/500 | Mean Reward=-61.42
[PG] Iter 86/500 | Mean Reward=-63.61
[PG] Iter 87/500 | Mean Reward=-47.04
[PG] Iter 88/500 | Mean Reward=-71.38
[PG] Iter 89/500 | Mean Reward=-92.06
[PG] Iter 90/500 | Mean Reward=-54.60
Saved latest PG checkpoint (iter 90) → Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 91/500 | Mean Reward=-52.67
[PG] Iter 92/500 | Mean Reward=-80.58
[PG] Iter 93/500 | Mean Reward=-59.44
[PG] Iter 94/500 | Mean Reward=-49.21
[PG] Iter 95/500 | Mean Reward=-48.37
[PG] Iter 96/500 | Mean Reward=-34.82
[PG] Iter 97/500 | Mean Reward=-70.75
[PG] Iter 98/500 | Mean Reward=-53.36
[PG] Iter 99/500 | Mean Reward=-41.53
[PG] Iter 100/500 | Mean Reward=-54.91
Saved latest PG checkpoint (iter 100) → Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 101/500 | Mean Reward=-22.31
[PG] Iter 102/500 | Mean Reward=-42.30
[PG] Iter 103/500 | Mean Reward=-46.20
[PG] Iter 104/500 | Mean Reward=-31.31
[PG] Iter 105/500 | Mean Reward=-47.95
[PG] Iter 106/500 | Mean Reward=-61.62
[PG] Iter 107/500 | Mean Reward=-37.68
[PG] Iter 108/500 | Mean Reward=-38.72
[PG] Iter 109/500 | Mean Reward=-57.14
[PG] Iter 110/500 | Mean Reward=-35.43
Saved latest PG checkpoint (iter 110) → Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 111/500 | Mean Reward=-26.50
[PG] Iter 112/500 | Mean Reward=-32.29
[PG] Iter 113/500 | Mean Reward=-29.45
[PG] Iter 114/500 | Mean Reward=-40.92
[PG] Iter 115/500 | Mean Reward=-21.50
[PG] Iter 116/500 | Mean Reward=-10.20
[PG] Iter 117/500 | Mean Reward=-35.33
[PG] Iter 118/500 | Mean Reward=-7.83
[PG] Iter 119/500 | Mean Reward=-8.44
[PG] Iter 120/500 | Mean Reward=-33.38
Saved latest PG checkpoint (iter 120) → Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 121/500 | Mean Reward=-37.52
[PG] Iter 122/500 | Mean Reward=-18.45
[PG] Iter 123/500 | Mean Reward=-17.78
[PG] Iter 124/500 | Mean Reward=-49.71
[PG] Iter 125/500 | Mean Reward=-58.75
[PG] Iter 126/500 | Mean Reward=-28.62
[PG] Iter 127/500 | Mean Reward=-111.02
[PG] Iter 128/500 | Mean Reward=-51.15
[PG] Iter 129/500 | Mean Reward=-23.56
[PG] Iter 130/500 | Mean Reward=-55.01
Saved latest PG checkpoint (iter 130) → Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 131/500 | Mean Reward=3.91
[PG] Iter 132/500 | Mean Reward=-8.49
[PG] Iter 133/500 | Mean Reward=-99.91
[PG] Iter 134/500 | Mean Reward=-24.86
[PG] Iter 135/500 | Mean Reward=-5.52
[PG] Iter 136/500 | Mean Reward=-43.53
[PG] Iter 137/500 | Mean Reward=-34.39
[PG] Iter 138/500 | Mean Reward=1.08
[PG] Iter 139/500 | Mean Reward=-25.99
[PG] Iter 140/500 | Mean Reward=-30.10
Saved latest PG checkpoint (iter 140) → Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 141/500 | Mean Reward=-35.32
[PG] Iter 142/500 | Mean Reward=-47.91
[PG] Iter 143/500 | Mean Reward=-27.20
[PG] Iter 144/500 | Mean Reward=0.18
[PG] Iter 145/500 | Mean Reward=0.67
[PG] Iter 146/500 | Mean Reward=-30.79
[PG] Iter 147/500 | Mean Reward=-11.71
[PG] Iter 148/500 | Mean Reward=1.51
[PG] Iter 149/500 | Mean Reward=-15.02
[PG] Iter 150/500 | Mean Reward=-18.92
Saved latest PG checkpoint (iter 150) → Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 151/500 | Mean Reward=-51.09
[PG] Iter 152/500 | Mean Reward=10.40
[PG] Iter 153/500 | Mean Reward=6.10
[PG] Iter 154/500 | Mean Reward=-7.63
[PG] Iter 155/500 | Mean Reward=13.75
[PG] Iter 156/500 | Mean Reward=-5.61
[PG] Iter 157/500 | Mean Reward=-65.98
[PG] Iter 158/500 | Mean Reward=-69.94
[PG] Iter 159/500 | Mean Reward=20.33
[PG] Iter 160/500 | Mean Reward=9.86
Saved latest PG checkpoint (iter 160) → Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 161/500 | Mean Reward=11.84
[PG] Iter 162/500 | Mean Reward=-24.47
[PG] Iter 163/500 | Mean Reward=-17.23
[PG] Iter 164/500 | Mean Reward=8.41
[PG] Iter 165/500 | Mean Reward=32.71
[PG] Iter 166/500 | Mean Reward=21.40
[PG] Iter 167/500 | Mean Reward=22.72
[PG] Iter 168/500 | Mean Reward=2.58
[PG] Iter 169/500 | Mean Reward=-3.74
[PG] Iter 170/500 | Mean Reward=-21.17
Saved latest PG checkpoint (iter 170) → Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 171/500 | Mean Reward=31.17
[PG] Iter 172/500 | Mean Reward=2.77
[PG] Iter 173/500 | Mean Reward=1.29
[PG] Iter 174/500 | Mean Reward=20.49
[PG] Iter 175/500 | Mean Reward=38.64
[PG] Iter 176/500 | Mean Reward=8.17
[PG] Iter 177/500 | Mean Reward=-46.49
[PG] Iter 178/500 | Mean Reward=42.38
[PG] Iter 179/500 | Mean Reward=-14.18
[PG] Iter 180/500 | Mean Reward=35.97
Saved latest PG checkpoint (iter 180) → Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 181/500 | Mean Reward=29.68
[PG] Iter 182/500 | Mean Reward=-6.11
[PG] Iter 183/500 | Mean Reward=35.08
[PG] Iter 184/500 | Mean Reward=25.83
[PG] Iter 185/500 | Mean Reward=-4.03
[PG] Iter 186/500 | Mean Reward=-18.15
[PG] Iter 187/500 | Mean Reward=-0.27
[PG] Iter 188/500 | Mean Reward=38.69
[PG] Iter 189/500 | Mean Reward=9.75
[PG] Iter 190/500 | Mean Reward=-27.31
Saved latest PG checkpoint (iter 190) → Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 191/500 | Mean Reward=38.50
[PG] Iter 192/500 | Mean Reward=-15.81
[PG] Iter 193/500 | Mean Reward=32.66
[PG] Iter 194/500 | Mean Reward=41.96
[PG] Iter 195/500 | Mean Reward=7.08
[PG] Iter 196/500 | Mean Reward=-11.25
[PG] Iter 197/500 | Mean Reward=54.72
[PG] Iter 198/500 | Mean Reward=49.33
[PG] Iter 199/500 | Mean Reward=-15.63
[PG] Iter 200/500 | Mean Reward=8.20
Saved latest PG checkpoint (iter 200) → Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 201/500 | Mean Reward=29.13
[PG] Iter 202/500 | Mean Reward=-9.23
[PG] Iter 203/500 | Mean Reward=65.27
[PG] Iter 204/500 | Mean Reward=8.52
[PG] Iter 205/500 | Mean Reward=39.12
[PG] Iter 206/500 | Mean Reward=19.85
[PG] Iter 207/500 | Mean Reward=71.49
[PG] Iter 208/500 | Mean Reward=74.43
[PG] Iter 209/500 | Mean Reward=53.32
[PG] Iter 210/500 | Mean Reward=61.73
Saved latest PG checkpoint (iter 210) → Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 211/500 | Mean Reward=79.07
[PG] Iter 212/500 | Mean Reward=45.25
[PG] Iter 213/500 | Mean Reward=63.09
[PG] Iter 214/500 | Mean Reward=7.73
[PG] Iter 215/500 | Mean Reward=80.56
[PG] Iter 216/500 | Mean Reward=39.67
[PG] Iter 217/500 | Mean Reward=15.64
[PG] Iter 218/500 | Mean Reward=85.56
[PG] Iter 219/500 | Mean Reward=38.23
[PG] Iter 220/500 | Mean Reward=31.43
Saved latest PG checkpoint (iter 220) → Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 221/500 | Mean Reward=41.27
[PG] Iter 222/500 | Mean Reward=51.86
[PG] Iter 223/500 | Mean Reward=18.29
[PG] Iter 224/500 | Mean Reward=34.15
[PG] Iter 225/500 | Mean Reward=52.05
[PG] Iter 226/500 | Mean Reward=39.61
[PG] Iter 227/500 | Mean Reward=52.45
[PG] Iter 228/500 | Mean Reward=36.64
[PG] Iter 229/500 | Mean Reward=88.92
[PG] Iter 230/500 | Mean Reward=51.29
Saved latest PG checkpoint (iter 230) → Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 231/500 | Mean Reward=25.85
[PG] Iter 232/500 | Mean Reward=19.52
[PG] Iter 233/500 | Mean Reward=22.09
[PG] Iter 234/500 | Mean Reward=84.97
[PG] Iter 235/500 | Mean Reward=45.20
[PG] Iter 236/500 | Mean Reward=32.88
[PG] Iter 237/500 | Mean Reward=25.23
[PG] Iter 238/500 | Mean Reward=62.55
[PG] Iter 239/500 | Mean Reward=75.12
[PG] Iter 240/500 | Mean Reward=73.63
Saved latest PG checkpoint (iter 240) → Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 241/500 | Mean Reward=77.77
[PG] Iter 242/500 | Mean Reward=9.39
[PG] Iter 243/500 | Mean Reward=97.71
[PG] Iter 244/500 | Mean Reward=43.21
[PG] Iter 245/500 | Mean Reward=70.12
[PG] Iter 246/500 | Mean Reward=44.74
[PG] Iter 247/500 | Mean Reward=29.27
[PG] Iter 248/500 | Mean Reward=34.99
[PG] Iter 249/500 | Mean Reward=52.84
[PG] Iter 250/500 | Mean Reward=37.97
Saved latest PG checkpoint (iter 250) → Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 251/500 | Mean Reward=54.79
[PG] Iter 252/500 | Mean Reward=95.97
[PG] Iter 253/500 | Mean Reward=99.35
[PG] Iter 254/500 | Mean Reward=37.43
[PG] Iter 255/500 | Mean Reward=63.48
[PG] Iter 256/500 | Mean Reward=72.80
[PG] Iter 257/500 | Mean Reward=47.40
[PG] Iter 258/500 | Mean Reward=64.77
[PG] Iter 259/500 | Mean Reward=53.12
