Using device: cpu
PG training on LunarLander-v3 | reward_to_go=False adv_norm=False
[PG] Iter 1/500 | Mean Reward=-194.24
[PG] Iter 2/500 | Mean Reward=-160.57
[PG] Iter 3/500 | Mean Reward=-164.18
[PG] Iter 4/500 | Mean Reward=-163.28
[PG] Iter 5/500 | Mean Reward=-158.02
[PG] Iter 6/500 | Mean Reward=-161.01
[PG] Iter 7/500 | Mean Reward=-156.51
[PG] Iter 8/500 | Mean Reward=-142.56
[PG] Iter 9/500 | Mean Reward=-176.19
[PG] Iter 10/500 | Mean Reward=-168.75
Saved latest PG checkpoint (iter 10) - P3/Q2/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 11/500 | Mean Reward=-153.10
[PG] Iter 12/500 | Mean Reward=-145.79
[PG] Iter 13/500 | Mean Reward=-164.68
[PG] Iter 14/500 | Mean Reward=-183.61
[PG] Iter 15/500 | Mean Reward=-153.77
[PG] Iter 16/500 | Mean Reward=-199.40
[PG] Iter 17/500 | Mean Reward=-171.86
[PG] Iter 18/500 | Mean Reward=-156.36
[PG] Iter 19/500 | Mean Reward=-144.29
[PG] Iter 20/500 | Mean Reward=-161.42
Saved latest PG checkpoint (iter 20) - P3/Q2/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 21/500 | Mean Reward=-152.88
[PG] Iter 22/500 | Mean Reward=-127.11
[PG] Iter 23/500 | Mean Reward=-148.83
[PG] Iter 24/500 | Mean Reward=-167.76
[PG] Iter 25/500 | Mean Reward=-177.86
[PG] Iter 26/500 | Mean Reward=-139.16
[PG] Iter 27/500 | Mean Reward=-149.86
[PG] Iter 28/500 | Mean Reward=-149.60
[PG] Iter 29/500 | Mean Reward=-137.56
[PG] Iter 30/500 | Mean Reward=-163.11
Saved latest PG checkpoint (iter 30) - P3/Q2/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 31/500 | Mean Reward=-171.49
[PG] Iter 32/500 | Mean Reward=-178.37
[PG] Iter 33/500 | Mean Reward=-152.50
