Using device: cpu
PG training on LunarLander-v3 | reward_to_go=False adv_norm=True
[PG] Iter 1/500 | Mean Reward=-163.25
[PG] Iter 2/500 | Mean Reward=-166.39
[PG] Iter 3/500 | Mean Reward=-170.12
[PG] Iter 4/500 | Mean Reward=-176.43
[PG] Iter 5/500 | Mean Reward=-175.53
[PG] Iter 6/500 | Mean Reward=-168.31
[PG] Iter 7/500 | Mean Reward=-175.42
[PG] Iter 8/500 | Mean Reward=-165.09
[PG] Iter 9/500 | Mean Reward=-169.37
[PG] Iter 10/500 | Mean Reward=-175.81
Saved latest PG checkpoint (iter 10) - P3/Q2/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 11/500 | Mean Reward=-156.08
[PG] Iter 12/500 | Mean Reward=-154.14
[PG] Iter 13/500 | Mean Reward=-139.78
[PG] Iter 14/500 | Mean Reward=-149.91
[PG] Iter 15/500 | Mean Reward=-152.25
[PG] Iter 16/500 | Mean Reward=-135.29
[PG] Iter 17/500 | Mean Reward=-162.51
[PG] Iter 18/500 | Mean Reward=-151.70
[PG] Iter 19/500 | Mean Reward=-146.32
[PG] Iter 20/500 | Mean Reward=-148.82
Saved latest PG checkpoint (iter 20) - P3/Q2/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 21/500 | Mean Reward=-130.96
[PG] Iter 22/500 | Mean Reward=-164.71
[PG] Iter 23/500 | Mean Reward=-139.86
[PG] Iter 24/500 | Mean Reward=-132.84
[PG] Iter 25/500 | Mean Reward=-157.45
[PG] Iter 26/500 | Mean Reward=-136.51
[PG] Iter 27/500 | Mean Reward=-136.64
[PG] Iter 28/500 | Mean Reward=-143.81
[PG] Iter 29/500 | Mean Reward=-127.69
[PG] Iter 30/500 | Mean Reward=-133.85
Saved latest PG checkpoint (iter 30) - P3/Q2/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 31/500 | Mean Reward=-131.78
[PG] Iter 32/500 | Mean Reward=-121.07
[PG] Iter 33/500 | Mean Reward=-139.36
[PG] Iter 34/500 | Mean Reward=-144.49
[PG] Iter 35/500 | Mean Reward=-134.22
[PG] Iter 36/500 | Mean Reward=-132.08
[PG] Iter 37/500 | Mean Reward=-126.94
[PG] Iter 38/500 | Mean Reward=-118.02
[PG] Iter 39/500 | Mean Reward=-120.48
[PG] Iter 40/500 | Mean Reward=-135.57
Saved latest PG checkpoint (iter 40) - P3/Q2/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 41/500 | Mean Reward=-119.97
[PG] Iter 42/500 | Mean Reward=-131.62
[PG] Iter 43/500 | Mean Reward=-119.52
[PG] Iter 44/500 | Mean Reward=-136.75
[PG] Iter 45/500 | Mean Reward=-115.59
[PG] Iter 46/500 | Mean Reward=-135.82
[PG] Iter 47/500 | Mean Reward=-115.49
[PG] Iter 48/500 | Mean Reward=-113.98
