Using device: cpu
PG training on LunarLander-v3 | reward_to_go=True adv_norm=True
[PG] Iter 1/500 | Mean Reward=-206.46
[PG] Iter 2/500 | Mean Reward=-151.18
[PG] Iter 3/500 | Mean Reward=-206.72
[PG] Iter 4/500 | Mean Reward=-193.31
[PG] Iter 5/500 | Mean Reward=-187.20
[PG] Iter 6/500 | Mean Reward=-182.03
[PG] Iter 7/500 | Mean Reward=-179.65
[PG] Iter 8/500 | Mean Reward=-172.74
[PG] Iter 9/500 | Mean Reward=-196.78
[PG] Iter 10/500 | Mean Reward=-191.86
Saved latest PG checkpoint (iter 10) - P3/Q2/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 11/500 | Mean Reward=-166.81
[PG] Iter 12/500 | Mean Reward=-180.36
[PG] Iter 13/500 | Mean Reward=-189.74
[PG] Iter 14/500 | Mean Reward=-158.41
[PG] Iter 15/500 | Mean Reward=-166.64
[PG] Iter 16/500 | Mean Reward=-165.61
[PG] Iter 17/500 | Mean Reward=-147.46
[PG] Iter 18/500 | Mean Reward=-154.82
[PG] Iter 19/500 | Mean Reward=-153.50
[PG] Iter 20/500 | Mean Reward=-140.06
Saved latest PG checkpoint (iter 20) - P3/Q2/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 21/500 | Mean Reward=-147.87
[PG] Iter 22/500 | Mean Reward=-123.10
[PG] Iter 23/500 | Mean Reward=-130.23
[PG] Iter 24/500 | Mean Reward=-156.55
[PG] Iter 25/500 | Mean Reward=-142.30
[PG] Iter 26/500 | Mean Reward=-139.04
[PG] Iter 27/500 | Mean Reward=-145.11
[PG] Iter 28/500 | Mean Reward=-132.67
[PG] Iter 29/500 | Mean Reward=-127.58
[PG] Iter 30/500 | Mean Reward=-144.19
Saved latest PG checkpoint (iter 30) - P3/Q2/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 31/500 | Mean Reward=-136.69
[PG] Iter 32/500 | Mean Reward=-133.44
[PG] Iter 33/500 | Mean Reward=-146.96
[PG] Iter 34/500 | Mean Reward=-130.50
[PG] Iter 35/500 | Mean Reward=-136.70
[PG] Iter 36/500 | Mean Reward=-133.69
[PG] Iter 37/500 | Mean Reward=-141.61
[PG] Iter 38/500 | Mean Reward=-117.45
