Using device: cpu
PG training on CartPole-v1 | reward_to_go=True adv_norm=False
[PG] Iter 1/350 | Mean Reward=22.43
[PG] Iter 2/350 | Mean Reward=24.51
[PG] Iter 3/350 | Mean Reward=24.92
[PG] Iter 4/350 | Mean Reward=26.18
[PG] Iter 5/350 | Mean Reward=27.79
[PG] Iter 6/350 | Mean Reward=28.82
[PG] Iter 7/350 | Mean Reward=28.59
[PG] Iter 8/350 | Mean Reward=26.76
[PG] Iter 9/350 | Mean Reward=31.73
[PG] Iter 10/350 | Mean Reward=30.76
Saved latest PG checkpoint (iter 10) - P3/Q2/cartpole/checkpoints/pg_CartPole-v1_last.pth
[PG] Iter 11/350 | Mean Reward=33.63
[PG] Iter 12/350 | Mean Reward=32.30
[PG] Iter 13/350 | Mean Reward=30.97
[PG] Iter 14/350 | Mean Reward=33.52
[PG] Iter 15/350 | Mean Reward=32.23
[PG] Iter 16/350 | Mean Reward=36.66
[PG] Iter 17/350 | Mean Reward=37.68
[PG] Iter 18/350 | Mean Reward=38.52
[PG] Iter 19/350 | Mean Reward=39.22
[PG] Iter 20/350 | Mean Reward=38.76
Saved latest PG checkpoint (iter 20) - P3/Q2/cartpole/checkpoints/pg_CartPole-v1_last.pth
[PG] Iter 21/350 | Mean Reward=38.11
[PG] Iter 22/350 | Mean Reward=36.89
[PG] Iter 23/350 | Mean Reward=41.13
[PG] Iter 24/350 | Mean Reward=46.56
[PG] Iter 25/350 | Mean Reward=46.36
[PG] Iter 26/350 | Mean Reward=48.94
[PG] Iter 27/350 | Mean Reward=49.18
[PG] Iter 28/350 | Mean Reward=47.42
[PG] Iter 29/350 | Mean Reward=48.56
[PG] Iter 30/350 | Mean Reward=50.61
Saved latest PG checkpoint (iter 30) - P3/Q2/cartpole/checkpoints/pg_CartPole-v1_last.pth
[PG] Iter 31/350 | Mean Reward=53.87
[PG] Iter 32/350 | Mean Reward=59.92
[PG] Iter 33/350 | Mean Reward=52.64
[PG] Iter 34/350 | Mean Reward=57.94
[PG] Iter 35/350 | Mean Reward=56.73
[PG] Iter 36/350 | Mean Reward=52.79
[PG] Iter 37/350 | Mean Reward=53.91
[PG] Iter 38/350 | Mean Reward=66.14
